From;To;Type;Through;x;y;x;y;
7317;2233;river_large;10315;-1;-1;-1;-1;Chicago-Hammond
3651;4206;river_large;10039;-1;-1;-1;-1;O'Fallon-St. Louis
4206;6430;river_large;9709;-1;-1;-1;-1;St. Louis-Waterloo
4206;6431;river_large;10039;-1;-1;-1;-1;St. Louis-Belleville
9203;3650;river_large;10446;-1;-1;-1;-1;Pittsfield-Troy
9203;2733;river_large;10281;-1;-1;-1;-1;Pittsfield-Upper Alton
4000;323;river_large;9879;-1;-1;-1;-1;Cape Girardeau-Anna
1497;3331;river_large;10247;-1;-1;-1;-1;Winnipeg-Beausejour
4044;7604;sea;10076;-1;-1;-1;-1;Port Townsend-Bremerton
7604;4871;sea;10076;-1;-1;-1;-1;Bremerton-Seattle
325;2749;sea;9681;-1;-1;-1;-1;Vancouver-Portland
8421;6784;river_large;10425;-1;-1;-1;-1;Waterville-Wenatchee
2693;2749;river_large;10550;-1;-1;-1;-1;Beaverton-Portland
4468;4469;river_large;10462;-1;-1;-1;-1;West Sacramento-Sacramento
1496;3333;river_large;10247;-1;-1;-1;-1;Selkirk-Lac du Bonnet
1392;3333;river_large;10431;-1;-1;-1;-1;Powerview-Lac du Bonnet
1494;2122;river_large;10247;-1;-1;-1;-1;La Salle-Grunthal
1814;1815;sea;10140;-1;-1;-1;-1;Santa Rosa-Avalon
9460;3939;river_large;10302;-1;-1;-1;-1;Fort Frances-Littlefork
9460;7456;river_large;10302;-1;-1;-1;-1;Fort Frances-International Falls
8024;8026;river_large;10577;-1;-1;-1;-1;Saint Paul-Eagan
8024;8025;river_large;10385;-1;-1;-1;-1;Saint Paul-Minneapolis
6364;658;river_large;10394;-1;-1;-1;-1;Yankton-Hartington
3993;327;river_large;10577;-1;-1;-1;-1;River Falls-Northfield
869;960;river_large;10394;-1;-1;-1;-1;Cherokee-South Sioux City
640;6288;sea;10012;-1;-1;-1;-1;Sault Ste. Marie-Sault Sainte Marie
1183;2082;river_large;10380;-1;-1;-1;-1;Winona-La Crosse
6288;217;sea;9911;-1;-1;-1;-1;Sault Sainte Marie-Tobacco Lake
2798;4684;river_large;10402;-1;-1;-1;-1;Peoria-Pekin
3762;6211;river_large;10314;-1;-1;-1;-1;Evansville-Henderson
